Run,Status,Serotype,ClusterNumber
SRR8950125,Non-investigated-Isolate-SampleType,O157,4
SRR12974196,Non-investigated-Isolate-SampleType,undetermined,-1
SRR1816736,Non-investigated-Isolate-SampleType,O157,4
SRR8110793,Non-investigated-Isolate-SampleType,undetermined,4
SRR5650512,Non-investigated-Isolate-SampleType,O157,4
SRR10325493,Non-investigated-Isolate-SampleType,D13,11
SRR11799667,Non-investigated-Isolate-SampleType,O26,6
SRR8666071,Non-investigated-Isolate-SampleType,undetermined,-1
SRR1815524,Non-investigated-Isolate-SampleType,O129 or O13,4
SRR8095972,Non-investigated-Isolate-SampleType,O8,4
SRR11067580,Non-investigated-Isolate-SampleType,O8,9
SRR1815622,Non-investigated-Isolate-SampleType,O17 or O77,-1
SRR8095750,Non-investigated-Isolate-SampleType,O51,4
SRR12705027,Non-investigated-Isolate-SampleType,O103,10
SRR10166241,Non-investigated-Isolate-SampleType,undetermined,6
SRR1815599,Non-investigated-Isolate-SampleType,O12,4
SRR1815586,Non-investigated-Isolate-SampleType,O39,4
SRR8095565,Non-investigated-Isolate-SampleType,undetermined,8
SRR1814827,Non-investigated-Isolate-SampleType,O26,6
SRR2132211,Non-investigated-Isolate-SampleType,O103,3
SRR1816697,Non-investigated-Isolate-SampleType,O145,4
SRR3406057,Non-investigated-Isolate-SampleType,O111,2
SRR1816755,Non-investigated-Isolate-SampleType,O111,6
SRR1816686,Non-investigated-Isolate-SampleType,O111,6
SRR10810350,Non-investigated-Isolate-SampleType,undetermined,4
SRR9002305,Non-investigated-Isolate-SampleType,O174,7
SRR1815568,Non-investigated-Isolate-SampleType,undetermined,8
SRR1816729,Non-investigated-Isolate-SampleType,O157,4
SRR8095567,Non-investigated-Isolate-SampleType,O17 or O77,4
SRR9984603,Non-investigated-Isolate-SampleType,O81,4
SRR12775115,Non-investigated-Isolate-SampleType,undetermined,4
SRR12849856,Non-investigated-Isolate-SampleType,O25,4
SRR12704887,Non-investigated-Isolate-SampleType,O117,4
SRR9984538,Non-investigated-Isolate-SampleType,undetermined,5
SRR8095738,Non-investigated-Isolate-SampleType,O15,4
SRR9984840,Non-investigated-Isolate-SampleType,O25,4
SRR9002363,Non-investigated-Isolate-SampleType,O54,4
SRR6219338,Non-investigated-Isolate-SampleType,O25,4
